sample_id,sample_name,biosample,sample_description,latitude,longitude,geolocation,biome,biome_feature,biome_material,assembly_run_ids,study_id
ERS2597424,DTU2017_MG_44_SI_LJ,SAMEA4777476,DTU2017_MG_44_SI_LJ,46.074,14.6119,Slovenia,,,,ERR2683219,MGYS00003139
ERS2597425,DTU2017_MG_45_SE_UP,SAMEA4777477,DTU2017_MG_45_SE_UP,59.8436,17.6575,Sweden,,,,ERR2683220,MGYS00003139
ERS2597426,DTU2017_MG_46_IT_VE,SAMEA4777478,DTU2017_MG_46_IT_VE,45.9352,8.5596,Italy,,,,ERR2683221,MGYS00003139
ERS2597427,DTU2017_MG_47_IT_CA,SAMEA4777479,DTU2017_MG_47_IT_CA,45.0659,8.6918,Italy,,,,ERR2683222,MGYS00003139
ERS2597428,DTU2017_MG_48_IT_NO,SAMEA4777480,DTU2017_MG_48_IT_NO,45.4218,8.5968,Italy,,,,ERR2683223,MGYS00003139
ERS2597430,DTU2017_MG_4_GR_AT,SAMEA4777482,DTU2017_MG_4_GR_AT,37.9417,23.5893,Greece,,,,ERR2683225,MGYS00003139
ERS2597432,DTU2017_MG_51_SN_DA,SAMEA4777484,DTU2017_MG_51_SN_DA,14.7462,-17.4266,Senegal,,,,ERR2683227,MGYS00003139
ERS2597433,DTU2017_MG_52_ME_PO,SAMEA4777485,DTU2017_MG_52_ME_PO,42.4342,19.2355,Montenegro,,,,ERR2683228,MGYS00003139
ERS2597436,DTU2017_MG_55_FI_TU,SAMEA4777488,DTU2017_MG_55_FI_TU,60.4438,22.2379,Finland,,,,ERR2683231,MGYS00003139
ERS2597437,DTU2017_MG_56_FI_OU,SAMEA4777489,DTU2017_MG_56_FI_OU,65.0544,25.4122,Finland,,,,ERR2683232,MGYS00003139
ERS2597438,DTU2017_MG_57_FI_HE,SAMEA4777490,DTU2017_MG_57_FI_HE,60.2261,24.9916,Finland,,,,ERR2683233,MGYS00003139
ERS2597443,DTU2017_MG_61_TZ_MO,SAMEA4777495,DTU2017_MG_61_TZ_MO,-6.7866,37.6735,Tanzania,,,,ERR2683238,MGYS00003139
ERS2597446,DTU2017_MG_64_BB_BR,SAMEA4777498,DTU2017_MG_64_BB_BR,13.1008,-59.6212,Barbados,,,,ERR2683241,MGYS00003139
ERS2597449,DTU2017_MG_67_US_AU,SAMEA4777501,DTU2017_MG_67_US_AU,30.209,-97.6045,USA,,,,ERR2683244,MGYS00003139
ERS2597450,DTU2017_MG_68_US_HO_a,SAMEA4777502,DTU2017_MG_68_US_HO_a,29.7058,-95.5649,USA,,,,ERR2683245,MGYS00003139
ERS2597451,DTU2017_MG_69_BD_DH,SAMEA4777503,DTU2017_MG_69_BD_DH,23.6834,90.4514,Bangladesh,,,,ERR2683246,MGYS00003139
ERS2597454,DTU2017_MG_71_SK_BR,SAMEA4777506,DTU2017_MG_71_SK_BR,48.2591,17.3591,Slovakia,,,,ERR2683249,MGYS00003139
ERS2597456,DTU2017_MG_73_LV_RI,SAMEA4777508,DTU2017_MG_73_LV_RI,56.5067,25.9096,Latvia,,,,ERR2683251,MGYS00003139
ERS2597457,DTU2017_MG_74_LV_LI,SAMEA4777509,DTU2017_MG_74_LV_LI,56.5167,21.0167,Latvia,,,,ERR2683252,MGYS00003139
ERS2597459,DTU2017_MG_76_MU_PL,SAMEA4777511,DTU2017_MG_76_MU_PL,-20.7321,57.4338,Mauritius,,,,ERR2683254,MGYS00003139
ERS2597460,DTU2017_MG_77_IL_BE,SAMEA4777512,DTU2017_MG_77_IL_BE,31.253,34.7914,Israel,,,,ERR2683255,MGYS00003139
ERS2597462,DTU2017_MG_79_AU_MA,SAMEA4777514,DTU2017_MG_79_AU_MA,,134.2294,Australia,,,,ERR2683257,MGYS00003139
ERS2597464,DTU2017_MG_80_AU_DD,SAMEA4777516,DTU2017_MG_80_AU_DD,-12.3646,130.909,Australia,,,,ERR2683259,MGYS00003139
ERS2597466,DTU2017_MG_82_MT_MN,SAMEA4777518,DTU2017_MG_82_MT_MN,35.9675,14.3378,Malta,,,,ERR2683261,MGYS00003139
ERS2597469,DTU2017_MG_85_SA_KA,SAMEA4777521,DTU2017_MG_85_SA_KA,22.2987,39.1186,Saudi Arabia,,,,ERR2683264,MGYS00003139
ERS2597470,DTU2017_MG_86_LC_CA,SAMEA4777522,DTU2017_MG_86_LC_CA,14.0158,-60.9916,Saint Lucia,,,,ERR2683265,MGYS00003139
ERS2597473,DTU2017_MG_89_TG_LO,SAMEA4777525,DTU2017_MG_89_TG_LO,6.126,1.2184,Togo,,,,ERR2683268,MGYS00003139
ERS2597478,DTU2017_MG_93_TW_TA,SAMEA4777530,DTU2017_MG_93_TW_TA,25.0664,121.5744,Taiwan,,,,ERR2683273,MGYS00003139
ERS2597481,DTU2017_MG_96_EC_QU,SAMEA4777533,DTU2017_MG_96_EC_QU,-0.1853,-78.4172,Ecuador,,,,ERR2683276,MGYS00003139
ERS2597482,DTU2017_MG_97_PE_PI,SAMEA4777534,DTU2017_MG_97_PE_PI,-5.1576,-80.6858,Peru,,,,ERR2683277,MGYS00003139
ERS2597488,DTU2017_MG_169_NC_A,SAMEA4777540,extraction_control,66.9425,-53.6531,Denmark,,,,ERR2683525,MGYS00003139
ERS2597490,DTU2017_MG_171_NC_C,SAMEA4777542,extraction_control,66.9425,-53.6531,Denmark,,,,ERR2683527,MGYS00003139
ERS2597491,DTU2017_MG_172_NC_D,SAMEA4777543,extraction_control,66.9425,-53.6531,Denmark,,,,ERR2683528,MGYS00003139
ERS2597492,DTU2017_MG_173_NC_E,SAMEA4777544,extraction_control,66.9425,-53.6531,Denmark,,,,ERR2683529,MGYS00003139
ERS2597497,DTU2017_MG_178_NC_J,SAMEA4777549,extraction_control,66.9425,-53.6531,Denmark,,,,ERR2683534,MGYS00003139
ERS2597498,DTU2017_MG_179_NC_K,SAMEA4777550,extraction_control,66.9425,-53.6531,Denmark,,,,ERR2683535,MGYS00003139
ERS2597321,DTU2017_MG_102_MW_MZ,SAMEA4777373,DTU2017_MG_102_MW_MZ,-11.7634,34.0252,Malawi,,,,ERR2683116,MGYS00003139
ERS2597322,DTU2017_MG_103_MW_ZO,SAMEA4777374,DTU2017_MG_103_MW_ZO,-15.4528,35.5025,Malawi,,,,ERR2683117,MGYS00003139
ERS2597324,DTU2017_MG_105_IS_RE,SAMEA4777376,DTU2017_MG_105_IS_RE,64.1558,-21.8723,Iceland,,,,ERR2683119,MGYS00003139
ERS2597325,DTU2017_MG_106_PL_PL,SAMEA4777377,DTU2017_MG_106_PL_PL,51.448,21.9518,Poland,,,,ERR2683120,MGYS00003139
ERS2597327,DTU2017_MG_108_NG_IL_b,SAMEA4777379,DTU2017_MG_108_NG_IL_b,8.4807,4.672,Nigeria,,,,ERR2683122,MGYS00003139
ERS2597328,DTU2017_MG_10_CI_YA,SAMEA4777380,DTU2017_MG_10_CI_YA,6.8075,-5.2751,Cote d&apos;Ivoire,,,,ERR2683123,MGYS00003139
ERS2597330,DTU2017_MG_111_NG_ZA_a,SAMEA4777382,DTU2017_MG_111_NG_ZA_a,11.1358,7.6637,Nigeria,,,,ERR2683125,MGYS00003139
ERS2597331,DTU2017_MG_112_NG_ZA_b,SAMEA4777383,DTU2017_MG_112_NG_ZA_b,11.1459,7.6586,Nigeria,,,,ERR2683126,MGYS00003139
ERS2597332,DTU2017_MG_113_NG_ZA_c,SAMEA4777384,DTU2017_MG_113_NG_ZA_c,11.1459,7.6587,Nigeria,,,,ERR2683127,MGYS00003139
ERS2597335,DTU2017_MG_116_NI_MN,SAMEA4777387,DTU2017_MG_116_NI_MN,12.1639,-86.2236,Nicaragua,,,,ERR2683130,MGYS00003139
ERS2597336,DTU2017_MG_117_NI_MT,SAMEA4777388,DTU2017_MG_117_NI_MT,12.9147,-85.94,Nicaragua,,,,ERR2683131,MGYS00003139
ERS2597337,DTU2017_MG_118_NI_GR,SAMEA4777389,DTU2017_MG_118_NI_GR,11.9136,-85.9328,Nicaragua,,,,ERR2683132,MGYS00003139
ERS2597339,DTU2017_MG_11_MY_KL,SAMEA4777391,DTU2017_MG_11_MY_KL,3.1831,101.7111,Malaysia,,,,ERR2683134,MGYS00003139
ERS2597340,DTU2017_MG_120_TZ_MS,SAMEA4777392,DTU2017_MG_120_TZ_MS,-3.3745,37.427,Tanzania,,,,ERR2683135,MGYS00003139
ERS2597344,DTU2017_MG_124_EE_NA,SAMEA4777396,DTU2017_MG_124_EE_NA,59.3598,28.1829,Estonia,,,,ERR2683139,MGYS00003139
ERS2597347,DTU2017_MG_127_HR_ZA,SAMEA4777399,DTU2017_MG_127_HR_ZA,45.7877,16.0791,Croatia,,,,ERR2683142,MGYS00003139
ERS2597353,DTU2017_MG_132_GR_TH,SAMEA4777405,DTU2017_MG_132_GR_TH,40.6637,22.8333,Greece,,,,ERR2683148,MGYS00003139
ERS2597354,DTU2017_MG_133_AU_ME,SAMEA4777406,DTU2017_MG_133_AU_ME,-37.9145,144.6432,Australia,,,,ERR2683149,MGYS00003139
ERS2597355,DTU2017_MG_134_PT_PO,SAMEA4777407,DTU2017_MG_134_PT_PO,41.1579,-8.6291,Portugal,,,,ERR2683150,MGYS00003139
ERS2597356,DTU2017_MG_135_GB_ED,SAMEA4777408,DTU2017_MG_135_GB_ED,55.9701,-3.1449,United Kingdom,,,,ERR2683151,MGYS00003139
ERS2597357,DTU2017_MG_136_CA_RE,SAMEA4777409,DTU2017_MG_136_CA_RE,50.4411,-104.7558,Canada,,,,ERR2683152,MGYS00003139
ERS2597358,DTU2017_MG_137_CA_VA,SAMEA4777410,DTU2017_MG_137_CA_VA,49.1654,-122.9506,Canada,,,,ERR2683153,MGYS00003139
ERS2597359,DTU2017_MG_138_CA_CA,SAMEA4777411,DTU2017_MG_138_CA_CA,51.0131,-114.0246,Canada,,,,ERR2683154,MGYS00003139
ERS2597360,DTU2017_MG_139_CA_OT,SAMEA4777412,DTU2017_MG_139_CA_OT,45.4599,-75.5853,Canada,,,,ERR2683155,MGYS00003139
ERS2597361,DTU2017_MG_13_CM_YA,SAMEA4777413,DTU2017_MG_13_CM_YA,3.8706,11.4845,Cameroon,,,,ERR2683156,MGYS00003139
ERS2597362,DTU2017_MG_140_BG_SO,SAMEA4777414,DTU2017_MG_140_BG_SO,42.7509,23.3665,Bulgaria,,,,ERR2683157,MGYS00003139
ERS2597363,DTU2017_MG_141_GB_NC,SAMEA4777415,DTU2017_MG_141_GB_NC,54.9901,-1.4796,United Kingdom,,,,ERR2683158,MGYS00003139
ERS2597364,DTU2017_MG_142_CA_TO,SAMEA4777416,DTU2017_MG_142_CA_TO,43.6313,-79.4806,Canada,,,,ERR2683159,MGYS00003139
ERS2597366,DTU2017_MG_144_IN_MP,SAMEA4777418,DTU2017_MG_144_IN_MP,13.3576,74.7427,India,,,,ERR2683161,MGYS00003139
ERS2597367,DTU2017_MG_145_NO_OS,SAMEA4777419,DTU2017_MG_145_NO_OS,59.7934,10.4994,Norway,,,,ERR2683162,MGYS00003139
ERS2597368,DTU2017_MG_146_PK_KA,SAMEA4777420,DTU2017_MG_146_PK_KA,24.8537,67.0751,Pakistan,,,,ERR2683163,MGYS00003139
ERS2597369,DTU2017_MG_147_PK_HY,SAMEA4777421,DTU2017_MG_147_PK_HY,25.3746,68.3633,Pakistan,,,,ERR2683164,MGYS00003139
ERS2597370,DTU2017_MG_148_BF_OU,SAMEA4777422,DTU2017_MG_148_BF_OU,12.4272,-1.4807,Burkina Faso,,,,ERR2683165,MGYS00003139
ERS2597371,DTU2017_MG_149_BF_BO,SAMEA4777423,DTU2017_MG_149_BF_BO,11.2055,-4.2758,Burkina Faso,,,,ERR2683166,MGYS00003139
ERS2597372,DTU2017_MG_14_HK_HK,SAMEA4777424,DTU2017_MG_14_HK_HK,22.4039,114.2125,Hong Kong,,,,ERR2683167,MGYS00003139
ERS2597373,DTU2017_MG_150_SG_JU,SAMEA4777425,DTU2017_MG_150_SG_JU,1.3521,103.8198,Singapore,,,,ERR2683168,MGYS00003139
ERS2597374,DTU2017_MG_151_PY_CO,SAMEA4777426,DTU2017_MG_151_PY_CO,-25.276,-57.6334,Paraguay,,,,ERR2683169,MGYS00003139
ERS2597376,DTU2017_MG_153_KH_PP,SAMEA4777428,DTU2017_MG_153_KH_PP,11.5226,104.9026,Cambodia,,,,ERR2683171,MGYS00003139
ERS2597380,DTU2017_MG_157_KZ_AL,SAMEA4777432,DTU2017_MG_157_KZ_AL,43.4039,76.8889,Kazakhstan,,,,ERR2683175,MGYS00003139
ERS2597381,DTU2017_MG_158_US_CH,SAMEA4777433,DTU2017_MG_158_US_CH,,,USA,,,,ERR2683176,MGYS00003139
