Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Family_Genus,ERR977407,ERR977409,ERR977410,ERR977423,ERR977424,ERR977425,ERR977403,ERR977404,ERR977405,ERR977406,ERR977411,ERR977415,ERR977417,ERR977421
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Sanguibacteraceae,Sanguibacter,Sanguibacter_Sanguibacteraceae,0,0,0,3,2,7,0,0,0,0,0,9,0,10
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Sporichthyaceae,Sporichthya,Sporichthya_Sporichthyaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptacidiphilus,Streptacidiphilus_Streptomycetaceae,0,0,0,0,3,5,0,0,0,0,0,1,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces_Streptomycetaceae,1,2,4,3,8,11,0,0,0,0,1,7,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptosporangiaceae,Herbidospora,Herbidospora_Streptosporangiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptosporangiaceae,Microbispora,Microbispora_Streptosporangiaceae,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptosporangiaceae,Sphaerisporangium,Sphaerisporangium_Streptosporangiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptosporangiaceae,Streptosporangium,Streptosporangium_Streptosporangiaceae,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Thermomonosporaceae,Actinoallomurus,Actinoallomurus_Thermomonosporaceae,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Thermomonosporaceae,Actinomadura,Actinomadura_Thermomonosporaceae,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Tsukamurellaceae,Tsukamurella,Tsukamurella_Tsukamurellaceae,0,1,0,7,47,43,0,0,0,0,0,2,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Williamsiaceae,Williamsia,Williamsia_Williamsiaceae,0,2,0,1,19,17,0,0,0,0,0,2,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Yaniellaceae,Auritibacter,Auritibacter_Yaniellaceae,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Yaniellaceae,Yaniella,Yaniella_Yaniellaceae,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium_Bifidobacteriaceae,1,4,2,31,26,77,0,0,0,0,1,15,0,1
Bacteria,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Adlercreutzia,Adlercreutzia_Coriobacteriaceae,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bacteria,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Atopobium,Atopobium_Coriobacteriaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella_Coriobacteriaceae,2,7,2,17,23,42,0,0,0,0,5,4,0,0
Bacteria,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Coriobacterium,Coriobacterium_Coriobacteriaceae,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Bacteria,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Slackia,Slackia_Coriobacteriaceae,2,1,0,0,0,1,0,0,0,0,2,0,0,0
Bacteria,Bacteria,Actinobacteria,Nitriliruptoria,Euzebyales,Euzebyaceae,Euzebya,Euzebya_Euzebyaceae,0,0,0,7,5,11,0,0,0,0,0,0,0,0
