Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Family_Genus,ERZ724508,ERZ724502,ERZ724529,ERZ724524,ERZ724514,ERZ724528
Bacteria,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Mitsuokella,Mitsuokella_Selenomonadaceae,0.0,1.0,0.0,0.0,0.0,0.0
Bacteria,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,Selenomonas_Selenomonadaceae,0.0,0.0,0.0,1.0,0.0,0.0
Bacteria,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Sporomusaceae,Anaerosinus,Anaerosinus_Sporomusaceae,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Dialister,Dialister_Veillonellaceae,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera_Veillonellaceae,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium_Fusobacteriaceae,0.0,1.0,0.0,0.0,0.0,0.0
Bacteria,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Hypnocyclicus,Hypnocyclicus_Fusobacteriaceae,0.0,2.0,0.0,1.0,0.0,0.0
Bacteria,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,Leptotrichia_Leptotrichiaceae,1.0,0.0,1.0,1.0,0.0,0.0
Bacteria,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,Gemmatimonas_Gemmatimonadaceae,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira,Nitrospira_Nitrospiraceae,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Isosphaeraceae,Singulisphaera,Singulisphaera_Isosphaeraceae,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Pirellula,Pirellula_Planctomycetaceae,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,Phenylobacterium_Caulobacteraceae,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia,Devosia_Hyphomicrobiaceae,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Filomicrobium,Filomicrobium_Hyphomicrobiaceae,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pedomicrobium,Pedomicrobium_Hyphomicrobiaceae,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes,Rhodoplanes_Hyphomicrobiaceae,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Methylocystis,Methylocystis_Methylocystaceae,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Hirschia,Hirschia_Hyphomonadaceae,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Cereibacter,Cereibacter_Rhodobacteraceae,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,Paracoccus_Rhodobacteraceae,0.0,2.0,0.0,0.0,0.0,0.0
Bacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pseudorhodobacter,Pseudorhodobacter_Rhodobacteraceae,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,Rhodobacter_Rhodobacteraceae,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,Roseovarius_Rhodobacteraceae,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Tabrizicola,Tabrizicola_Rhodobacteraceae,0.0,0.0,0.0,1.0,0.0,0.0
Bacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,,Enhydrobacter,Enhydrobacter,0.0,0.0,0.0,0.0,0.0,0.0
